id,Arrival,Start,Completion,No_of_expansion,No_of_shrinkage,Wait_time,Turn_around_time,Exe_time
2.0,1468.9555262499996,1468.9555262499996,1539.9190812499996,0.0,0.0,0.0,70.96355500000004,70.96355500000004
5.0,7764.62243245,7764.62243245,7795.63983145,0.0,0.0,0.0,31.017399000000296,31.017399000000296
1.0,0.0,0.0,8497.339534,0.0,0.0,0.0,8497.339534,8497.339534
6.0,9592.4854925,9592.4854925,9599.6612245,0.0,0.0,0.0,7.175731999999698,7.175731999999698
3.0,2405.1819123000005,2405.1819123000005,20414.282052300005,0.0,0.0,0.0,18009.100140000002,18009.100140000002
7.0,23266.291806,23266.291806,23698.018669,0.0,0.0,0.0,431.72686299999987,431.72686299999987
8.0,30503.257371499996,30503.257371499996,30513.181522499995,0.0,0.0,0.0,9.924150999999256,9.924150999999256
9.0,39765.4777295,39765.4777295,41881.3304155,0.0,0.0,0.0,2115.8526859999984,2115.8526859999984
10.0,45569.0116935,45569.0116935,46328.7703215,0.0,0.0,0.0,759.7586280000032,759.7586280000032
13.0,77790.8232735,77790.8232735,79344.8920725,0.0,0.0,0.0,1554.0687990000006,1554.0687990000006
14.0,80692.98179800001,80692.98179800001,80727.77263400001,0.0,0.0,0.0,34.79083600000013,34.79083600000013
16.0,91046.55087949999,91046.55087949999,91054.92217549999,0.0,0.0,0.0,8.371295999997528,8.371295999997528
12.0,61527.609769,61527.609769,93755.055869,0.0,0.0,0.0,32227.4461,32227.4461
18.0,122754.65546,122754.65546,123335.41425199999,0.0,0.0,0.0,580.7587919999933,580.7587919999933
4.0,4329.3402641,4329.3402641,127534.5684641,0.0,0.0,0.0,123205.2282,123205.2282
19.0,141374.33284000002,141374.33284000002,142566.11539100003,0.0,0.0,0.0,1191.7825510000112,1191.7825510000112
20.0,144311.868975,144311.868975,144327.659348,0.0,0.0,0.0,15.79037299999618,15.79037299999618
17.0,95334.35915,95334.35915,168908.14231000002,0.0,0.0,0.0,73573.78316000002,73573.78316000002
22.0,171961.72651500002,171961.72651500002,172059.353314,0.0,0.0,0.0,97.62679899999057,97.62679899999057
23.0,176790.299875,176790.299875,176830.493765,0.0,0.0,0.0,40.19388999999501,40.19388999999501
11.0,58743.561580999994,58743.561580999994,182724.834281,0.0,0.0,0.0,123981.2727,123981.2727
25.0,210104.743885,210104.743885,211012.25183300002,0.0,0.0,0.0,907.5079480000131,907.5079480000131
24.0,208038.006725,208038.006725,215197.56537400003,0.0,0.0,0.0,7159.558649000013,7159.558649000013
26.0,218790.058275,218790.058275,226926.06216295855,1.0,0.0,0.0,8136.003887958563,8136.003887958563
28.0,237325.209595,237325.209595,251585.036315,0.0,0.0,0.0,14259.826720000012,14259.826720000012
29.0,264859.56794000004,264859.56794000004,265153.67799000005,0.0,0.0,0.0,294.1100500000175,294.1100500000175
30.0,281063.061395,281063.061395,287215.257531,0.0,0.0,0.0,6152.196135999984,6152.196135999984
31.0,295507.10744500003,295507.10744500003,295543.24268900004,0.0,0.0,0.0,36.135244000004604,36.135244000004604
15.0,90741.77882400001,90741.77882400001,322335.261424,0.0,0.0,0.0,231593.48260000002,231593.48260000002
33.0,330780.81331,330780.81331,331928.20273,0.0,0.0,0.0,1147.3894200000213,1147.3894200000213
37.0,373247.64700000006,373247.64700000006,373908.2236300001,0.0,0.0,0.0,660.576630000025,660.576630000025
36.0,369581.95819,369581.95819,378372.00705699995,0.0,0.0,0.0,8790.048866999976,8790.048866999976
27.0,225682.23275,225682.23275,388013.76194999996,0.0,0.0,0.0,162331.52919999996,162331.52919999996
39.0,402701.117445,402701.117445,404168.18545,0.0,0.0,0.0,1467.0680050000083,1467.0680050000083
40.0,407536.2364,407536.2364,407541.24844399997,0.0,0.0,0.0,5.0120439999736845,5.0120439999736845
42.0,414815.51469,414815.51469,414917.087733,0.0,0.0,0.0,101.57304300001124,101.57304300001124
41.0,413442.61335500004,413442.61335500004,417864.01720700006,0.0,0.0,0.0,4421.403852000018,4421.403852000018
43.0,422244.42596,422244.42596,422901.97011,0.0,0.0,0.0,657.5441499999724,657.5441499999724
46.0,444908.80719,444908.80719,444914.798916,0.0,0.0,0.0,5.991725999978371,5.991725999978371
35.0,367268.459005,367268.459005,455727.9888896717,1.0,0.0,0.0,88459.52988467168,88459.52988467168
45.0,444802.51378000004,444802.51378000004,463076.53021000006,0.0,0.0,0.0,18274.016430000018,18274.016430000018
47.0,471948.173925,471948.173925,473228.770011,0.0,0.0,0.0,1280.596085999976,1280.596085999976
48.0,472178.198375,472178.198375,474508.54253399995,0.0,0.0,0.0,2330.344158999971,2330.344158999971
44.0,426061.20771,426061.20771,475858.16968422785,1.0,0.0,0.0,49796.96197422786,49796.96197422786
50.0,478282.7231,478282.7231,478291.010555,0.0,0.0,0.0,8.28745499998331,8.28745499998331
51.0,480949.10396499996,480949.10396499996,481046.582976,0.0,0.0,0.0,97.47901100001764,97.47901100001764
54.0,504323.97698999994,504323.97698999994,504546.34026499995,0.0,0.0,0.0,222.36327500001062,222.36327500001062
21.0,169446.98484000002,169446.98484000002,507472.83074,0.0,0.0,0.0,338025.84589999996,338025.84589999996
56.0,519449.4803649999,519449.4803649999,520086.8882339999,0.0,0.0,0.0,637.4078689999878,637.4078689999878
57.0,524028.53233,524028.53233,524083.085886,0.0,0.0,0.0,54.553555999998935,54.553555999998935
53.0,503752.141875,503752.141875,526433.342185,0.0,0.0,0.0,22681.200309999986,22681.200309999986
52.0,491974.19245,491974.19245,536063.20211,0.0,0.0,0.0,44089.00965999998,44089.00965999998
59.0,546460.4938749999,546460.4938749999,549387.380026,0.0,0.0,0.0,2926.8861510000424,2926.8861510000424
55.0,505010.102995,505010.102995,551942.573015,0.0,0.0,0.0,46932.47001999995,46932.47001999995
60.0,553551.7181449999,553551.7181449999,553582.699039,0.0,0.0,0.0,30.980894000036642,30.980894000036642
61.0,554306.44289,554306.44289,554325.4465559999,0.0,0.0,0.0,19.003665999975055,19.003665999975055
65.0,617211.937675,617211.937675,617270.797937,0.0,0.0,0.0,58.86026200000197,58.86026200000197
67.0,630343.9419549999,630343.9419549999,630674.4134,0.0,0.0,0.0,330.47144500003196,330.47144500003196
69.0,654116.7747300001,654116.7747300001,654274.0794950001,0.0,0.0,0.0,157.30476500000805,157.30476500000805
70.0,659655.17308,659655.17308,659659.821223,0.0,0.0,0.0,4.648142999969423,4.648142999969423
34.0,338879.691085,338879.691085,661053.5038450779,1.0,0.0,0.0,322173.81276007794,322173.81276007794
71.0,672221.63837,672221.63837,672241.6368549999,0.0,0.0,0.0,19.99848499998916,19.99848499998916
64.0,593162.014695,593162.014695,680987.822025,0.0,0.0,0.0,87825.80732999998,87825.80732999998
73.0,694750.2911050001,694750.2911050001,694795.393277,0.0,0.0,0.0,45.10217199998442,45.10217199998442
66.0,629157.0736100001,629157.0736100001,731593.28491,0.0,0.0,0.0,102436.21129999997,102436.21129999997
77.0,734162.9458549998,734162.9458549998,734177.8429189998,0.0,0.0,0.0,14.897064000018872,14.897064000018872
75.0,717849.040645,717849.040645,734581.4283949999,0.0,0.0,0.0,16732.387749999994,16732.387749999994
32.0,327200.98454999994,327200.98454999994,741568.0632499999,0.0,0.0,0.0,414367.07869999995,414367.07869999995
78.0,745106.5302299998,745106.5302299998,745262.1401459998,0.0,0.0,0.0,155.6099160000449,155.6099160000449
76.0,723421.81484,723421.81484,748936.254203767,1.0,0.0,0.0,25514.439363767044,25514.439363767044
79.0,759766.115035,759766.115035,773451.411715,0.0,0.0,0.0,13685.296680000029,13685.296680000029
80.0,761451.8586849999,761451.8586849999,787133.5984849998,0.0,0.0,0.0,25681.73979999998,25681.73979999998
83.0,811611.8086199998,811611.8086199998,824477.8643999998,0.0,0.0,0.0,12866.055780000053,12866.055780000053
84.0,813851.03006,813851.03006,856205.9639,0.0,0.0,0.0,42354.933839999954,42354.933839999954
88.0,857436.28298,857436.28298,857936.371328,0.0,0.0,0.0,500.0883479999611,500.0883479999611
92.0,887734.274735,887734.274735,887859.437331,0.0,0.0,0.0,125.16259600000922,125.16259600000922
86.0,844408.7632149998,844408.7632149998,889131.0179449999,0.0,0.0,0.0,44722.254730000044,44722.254730000044
95.0,901858.1387700001,901858.1387700001,901863.8956560001,0.0,0.0,0.0,5.7568860000465065,5.7568860000465065
96.0,904948.467015,904948.467015,904951.8607079999,0.0,0.0,0.0,3.393692999961786,3.393692999961786
89.0,878938.4872200001,878938.4872200001,911516.5454900002,0.0,0.0,0.0,32578.058270000038,32578.058270000038
97.0,913447.592425,913447.592425,913858.784581,0.0,0.0,0.0,411.1921559999464,411.1921559999464
99.0,917594.85172,917594.85172,917644.6404960001,0.0,0.0,0.0,49.78877600003034,49.78877600003034
98.0,916829.659495,916829.659495,925746.6290821525,1.0,0.0,0.0,8916.969587152475,8916.969587152475
100.0,930277.23373,930277.23373,930283.827608,0.0,0.0,0.0,6.593878000043333,6.593878000043333
62.0,579106.0933300001,579106.0933300001,937290.1954300001,0.0,0.0,0.0,358184.1021,358184.1021
101.0,938512.047575,938512.047575,938590.576623,0.0,0.0,0.0,78.52904799999669,78.52904799999669
103.0,958493.95475,958493.95475,962716.423881,0.0,0.0,0.0,4222.469130999991,4222.469130999991
104.0,962708.35805,962708.35805,962890.7708960001,0.0,0.0,0.0,182.4128460000502,182.4128460000502
106.0,976104.60445,976104.60445,976109.081072,0.0,0.0,0.0,4.476621999987401,4.476621999987401
107.0,988115.653,988115.653,988130.768639,0.0,0.0,0.0,15.115638999966905,15.115638999966905
108.0,988217.11395,988217.11395,990841.0054820001,0.0,0.0,0.0,2623.891532000038,2623.891532000038
109.0,1001017.45385,1001017.45385,1005850.137556,0.0,0.0,0.0,4832.683705999982,4832.683705999982
110.0,1012421.0895,1012421.0895,1015356.247423,0.0,0.0,0.0,2935.15792300005,2935.15792300005
113.0,1023615.49335,1023615.49335,1023624.0457517355,0.0,0.0,0.0,8.552401735447347,8.552401735447347
115.0,1031252.7590000001,1031252.7590000001,1031301.1058380001,0.0,0.0,0.0,48.34683799999766,48.34683799999766
63.0,585030.9426549999,585030.9426549999,1041336.5219549999,0.0,0.0,0.0,456305.5793,456305.5793
85.0,839545.38879,839545.38879,1042029.5306899999,0.0,0.0,0.0,202484.14189999993,202484.14189999993
117.0,1043002.34,1048561.9065171513,1071935.9055571512,0.0,0.0,5559.56651715131,28933.565557151218,23373.999039999908
121.0,1066798.45965,1071936.626707935,1072064.171302935,0.0,0.0,5138.167057934916,5265.711652935017,127.54459500010125
120.0,1050696.62655,1071935.9055571512,1076934.6791391512,0.0,0.0,21239.279007151257,26238.05258915131,4998.773582000053
124.0,1085072.0506999998,1085072.0506999998,1085098.1823529997,0.0,0.0,0.0,26.131652999902144,26.131652999902144
123.0,1072555.4549,1085073.37531247,1085217.1357624698,0.0,0.0,12517.920412469888,12661.680862469831,143.76044999994338
125.0,1086657.77835,1086657.77835,1086873.3524830001,0.0,0.0,0.0,215.57413300010376,215.57413300010376
122.0,1069600.2119999998,1071937.6505458334,1088158.9258242294,1.0,1.0,2337.4385458335746,18558.713824229548,16221.275278395973
87.0,849771.860535,849771.860535,1100259.666035,0.0,0.0,0.0,250487.80550000002,250487.80550000002
126.0,1116348.9216,1116348.9216,1116849.709616,0.0,0.0,0.0,500.7880160000641,500.7880160000641
102.0,955512.65905,955512.65905,1160126.79645,0.0,0.0,0.0,204614.1374,204614.1374
128.0,1128258.4693,1160126.79645,1160418.608237,0.0,0.0,31868.327150000026,32160.138936999952,291.81178699992597
130.0,1161630.1738,1161630.1738,1161833.407167,0.0,0.0,0.0,203.233367000008,203.233367000008
118.0,1048560.63895,1048560.63895,1172672.87995,0.0,0.0,0.0,124112.24099999992,124112.24099999992
132.0,1162319.3342,1172673.5120497274,1172880.3053957273,0.0,0.0,10354.17784972745,10560.971195727354,206.79334599990398
133.0,1167670.5569,1172674.6309463738,1172896.148052374,0.0,0.0,5004.074046373833,5225.591152373934,221.5171060001012
134.0,1170071.37695,1172672.87995,1172901.513525,0.0,0.0,2601.503000000026,2830.136575000128,228.6335750001017
94.0,891149.9707599998,891149.9707599998,1174062.4175599997,0.0,0.0,0.0,282912.4467999999,282912.4467999999
131.0,1162066.88975,1162066.88975,1174822.16842,0.0,0.0,0.0,12755.278669999912,12755.278669999912
136.0,1177216.5084000002,1177216.5084000002,1177266.2750630002,0.0,0.0,0.0,49.7666629999876,49.7666629999876
135.0,1171562.9234999998,1172676.531040195,1178340.128923853,1.0,0.0,1113.6075401951093,6777.205423853127,5663.597883658018
137.0,1180833.61725,1180833.61725,1180839.241853,0.0,0.0,0.0,5.6246030000038445,5.6246030000038445
139.0,1192121.09545,1192121.09545,1197211.822739,0.0,0.0,0.0,5090.72728900006,5090.72728900006
141.0,1216225.6725,1216225.6725,1217245.2261420002,0.0,0.0,0.0,1019.5536420000717,1019.5536420000717
143.0,1230940.0553,1230940.0553,1230987.256929,0.0,0.0,0.0,47.20162900001742,47.20162900001742
127.0,1117242.42415,1117242.42415,1251930.6081500002,0.0,0.0,0.0,134688.18400000012,134688.18400000012
144.0,1240325.3333,1251930.6081500002,1255559.4488088824,0.0,0.0,11605.274850000162,15234.115508882329,3628.840658882167
146.0,1248187.1305,1251931.3318511886,1264069.6865611887,0.0,0.0,3744.201351188589,15882.55606118869,12138.354710000101
138.0,1185866.3781,1192121.5689183674,1269198.5111583674,0.0,0.0,6255.190818367293,83332.1330583673,77076.94224
145.0,1242204.5416,1273003.661513769,1275675.518478769,0.0,0.0,30799.119913768955,33470.976878769,2671.8569650000427
147.0,1273003.43045,1273003.43045,1280638.3491383386,1.0,0.0,0.0,7634.918688338483,7634.918688338483
149.0,1276507.6260999998,1280638.3491383386,1282661.4665103385,0.0,0.0,4130.723038338823,6153.840410338715,2023.1173719998915
90.0,886656.3702499998,886656.3702499998,1288784.2909499998,0.0,0.0,0.0,402127.9207,402127.9207
114.0,1024122.22335,1031253.2656768947,1299055.5845768948,0.0,0.0,7131.042326894705,274933.3612268948,267802.3189000001
150.0,1285814.8235999998,1299055.5845768948,1299338.6589938947,0.0,0.0,13240.760976894991,13523.83539389493,283.07441699993797
148.0,1275587.1653999998,1275675.518478769,1322214.2303587692,0.0,0.0,88.3530787692871,46627.06495876936,46538.711880000075
153.0,1305508.29605,1322214.2303587692,1322238.3450847692,0.0,0.0,16705.93430876918,16730.04903476918,24.11472599999979
154.0,1308107.4837,1322215.088415845,1322291.436570845,0.0,0.0,14107.604715845082,14183.952870845096,76.34815500001423
129.0,1154149.06915,1160127.832366146,1325323.325666146,0.0,0.0,5978.763216145802,171174.25651614578,165195.49329999997
155.0,1326500.7909,1326500.7909,1333407.6054389998,0.0,0.0,0.0,6906.814538999926,6906.814538999926
105.0,964658.8743,964658.8743,1397687.242,0.0,0.0,0.0,433028.36770000006,433028.36770000006
160.0,1365435.86545,1397687.242,1397708.2508120001,0.0,0.0,32251.37655000016,32272.385362000205,21.00881200004369
164.0,1383225.5891999998,1397701.356192539,1397742.716362539,0.0,0.0,14475.766992539167,14517.127162539167,41.360169999999925
166.0,1392211.02075,1397711.4862615915,1397761.6881155916,0.0,0.0,5500.465511591639,5550.66736559174,50.201854000100866
157.0,1359112.78895,1397688.1555970178,1398006.1829300178,0.0,0.0,38575.36664701789,38893.39398001786,318.02733299997635
158.0,1359370.04515,1397687.242,1398531.2614600002,0.0,0.0,38317.19685000018,39161.21631000028,844.0194600000978
159.0,1364097.96715,1397690.1914356712,1408681.2707156711,0.0,0.0,33592.224285671255,44583.3035656712,10991.079279999947
167.0,1426416.3606999996,1426416.3606999996,1429836.3038979997,0.0,0.0,0.0,3419.943198000081,3419.943198000081
168.0,1434890.77775,1434890.77775,1434975.476902,0.0,0.0,0.0,84.6991520000156,84.6991520000156
169.0,1442455.55745,1446806.36043962,1446840.01559662,0.0,0.0,4350.802989620017,4384.458146620076,33.65515700005926
170.0,1446806.2259,1446806.2259,1446861.285064,0.0,0.0,0.0,55.05916399997659,55.05916399997659
162.0,1370570.6924,1397693.573639966,1446912.489149966,0.0,0.0,27122.881239966024,76341.79674996599,49218.91550999996
165.0,1386537.96275,1397706.275993303,1456331.8523033028,0.0,0.0,11168.313243302982,69793.8895533029,58625.57630999992
171.0,1453905.4229499998,1453905.4229499998,1459503.2256919998,0.0,0.0,0.0,5597.802741999971,5597.802741999971
