cores,time,running_job_len
100.0,0.0,1.0
200.0,27.75,2.0
100.0,14400.0,1.0
0.0,14427.75,0.0
20.0,57051.0,1.0
0.0,57096.0,0.0
1.0,81159.75,1.0
2.0,81225.0,2.0
3.0,81252.0,3.0
2.0,81275.0,2.0
1.0,81313.75,1.0
0.0,82364.0,0.0
1000.0,84852.0,1.0
3560.0,94040.25,2.0
1000.0,94085.25,1.0
11000.0,94152.75,2.0
1000.0,94505.75,1.0
3560.0,94538.25,2.0
1000.0,94580.25,1.0
2000.0,94973.25,2.0
4560.0,95274.75,3.0
4561.0,95313.75,4.0
4560.0,95362.75,3.0
4561.0,95402.25,4.0
4560.0,95444.25,3.0
4561.0,96321.75,4.0
4560.0,96374.75,3.0
4561.0,96398.25,4.0
4560.0,96440.25,3.0
4561.0,96456.0,4.0
5561.0,96585.0,5.0
6561.0,96742.5,6.0
5561.0,96765.0,5.0
4561.0,97087.25,4.0
3561.0,97107.5,3.0
3560.0,97113.0,2.0
4560.0,97149.75,3.0
4561.0,97186.5,4.0
5561.0,97485.0,5.0
4561.0,97503.75,4.0
3561.0,97516.0,3.0
3560.0,97560.5,2.0
4560.0,97601.25,3.0
5160.0,97814.25,9.0
5360.0,97815.0,11.0
5760.0,97815.75,15.0
6160.0,97816.5,19.0
6560.0,97817.25,23.0
6860.0,97818.0,26.0
7360.0,97848.75,27.0
7860.0,97854.0,28.0
8360.0,97869.75,29.0
8860.0,97879.5,30.0
9360.0,97887.75,31.0
9860.0,97905.75,32.0
10360.0,97914.75,33.0
10860.0,97923.75,34.0
10760.0,97924.75,33.0
9760.0,97928.25,32.0
10260.0,97932.0,33.0
10760.0,97941.75,34.0
11260.0,97950.0,35.0
11760.0,97957.5,36.0
12260.0,97965.75,37.0
12760.0,97975.5,38.0
12260.0,98006.5,37.0
11760.0,98192.5,36.0
11260.0,98194.75,35.0
10760.0,98195.75,34.0
10260.0,98201.0,33.0
9760.0,98218.75,32.0
9260.0,98233.75,31.0
8760.0,98245.0,30.0
8260.0,98254.75,29.0
7760.0,98258.75,28.0
7260.0,98260.75,27.0
6760.0,98292.0,26.0
6260.0,98307.75,25.0
6261.0,98421.0,26.0
7261.0,98835.75,27.0
6261.0,99131.75,26.0
6761.0,99174.0,27.0
6261.0,99205.0,26.0
8821.0,99257.25,27.0
8820.0,99328.0,26.0
6260.0,99592.25,25.0
8820.0,99803.25,26.0
9820.0,99818.25,27.0
7260.0,99836.25,26.0
6260.0,100144.25,25.0
8820.0,100499.25,26.0
6260.0,100561.25,25.0
6261.0,101287.5,26.0
6260.0,101330.5,25.0
6261.0,101379.75,26.0
6260.0,101432.75,25.0
6261.0,101458.5,26.0
6262.0,101508.75,27.0
6261.0,101512.5,26.0
6260.0,101561.75,25.0
7260.0,101925.75,26.0
7460.0,102117.0,27.0
6460.0,102263.75,26.0
6260.0,102449.0,25.0
6460.0,102455.25,26.0
6260.0,102796.25,25.0
6261.0,102846.75,26.0
6260.0,102899.75,25.0
6261.0,102951.0,26.0
6260.0,102994.0,25.0
6660.0,103671.0,26.0
6260.0,103761.0,25.0
6660.0,103883.25,26.0
6260.0,103969.25,25.0
6660.0,104452.5,26.0
7060.0,104616.0,27.0
7460.0,104619.0,28.0
7060.0,104701.0,27.0
6660.0,104703.0,26.0
6260.0,105133.5,25.0
7260.0,105275.25,26.0
6260.0,105368.25,25.0
7260.0,105396.0,26.0
6260.0,105491.0,25.0
7260.0,105569.25,26.0
6260.0,105662.25,25.0
7260.0,106142.25,26.0
6260.0,106234.25,25.0
6460.0,106247.25,26.0
6260.0,106444.25,25.0
7260.0,106857.0,26.0
6260.0,106961.0,25.0
8820.0,109366.5,26.0
18820.0,109707.0,27.0
16260.0,109833.5,26.0
6260.0,109897.0,25.0
16260.0,109905.75,26.0
6260.0,110071.75,25.0
16260.0,110171.25,26.0
16260.0,110383.25,26.0
16260.0,110597.25,26.0
16760.0,110858.25,27.0
6760.0,110868.25,26.0
7260.0,111215.25,27.0
7760.0,111221.25,28.0
8260.0,111226.5,29.0
8760.0,111237.75,30.0
9260.0,111243.75,31.0
9760.0,111255.75,32.0
10260.0,111262.5,33.0
10760.0,111270.75,34.0
11260.0,111276.75,35.0
11760.0,111284.25,36.0
12260.0,111294.0,37.0
12760.0,111300.75,38.0
12260.0,111427.75,37.0
11760.0,111604.0,36.0
15600.0,111846.75,37.0
15100.0,112103.25,36.0
11260.0,112241.75,35.0
10760.0,112998.75,34.0
10260.0,113085.5,33.0
9760.0,113446.25,32.0
10260.0,113703.0,33.0
9760.0,113994.75,32.0
9260.0,114088.0,31.0
8760.0,114673.25,30.0
8260.0,114895.5,29.0
7760.0,115056.75,28.0
7770.0,117027.75,29.0
7780.0,117102.75,30.0
7770.0,117118.75,29.0
7795.0,117384.0,30.0
7785.0,117469.75,29.0
7285.0,117853.75,28.0
7310.0,118149.75,29.0
6810.0,118155.25,28.0
6835.0,118169.25,29.0
6810.0,118211.25,28.0
6835.0,118235.25,29.0
6810.0,118284.75,28.0
6785.0,118371.0,27.0
6810.0,118449.0,28.0
6785.0,118458.25,27.0
16785.0,118536.0,28.0
6785.0,118714.0,27.0
6760.0,119797.0,26.0
6660.0,123024.25,25.0
6160.0,132744.75,24.0
6060.0,137195.0,23.0
5960.0,137291.25,22.0
5860.0,137334.0,21.0
5760.0,137536.5,20.0
5660.0,137568.25,19.0
5560.0,137851.0,18.0
5460.0,137954.25,17.0
5360.0,139349.75,16.0
5260.0,139660.25,15.0
