cores,time,running_job_len
2.0,0.0,1.0
4.0,773.134487,2.0
2.0,844.0980420000001,1.0
5.0,1265.885217,2.0
15.0,2278.600139,3.0
28.0,4086.6433859999997,4.0
15.0,4117.660785,3.0
23.0,5048.676575,4.0
15.0,5055.852307,3.0
13.0,8497.339534,2.0
23.0,12245.416738,3.0
13.0,12677.143601,2.0
32.0,16054.345985,3.0
13.0,16064.270136,2.0
10.0,19274.985352,1.0
13.0,20929.198805,2.0
10.0,23045.051491,1.0
19.0,23983.690366,2.0
10.0,24743.448994,1.0
12.0,30917.663988,2.0
15.0,32382.952506999998,3.0
18.0,40942.538563,4.0
43.0,42469.99042,5.0
40.0,42496.607362,4.0
15.0,42504.781256,3.0
18.0,47758.83096,4.0
46.0,47919.237302999994,5.0
18.0,47927.60859899999,4.0
63.0,50175.978524,5.0
66.0,64607.713421,6.0
63.0,64610.398608999996,5.0
60.0,65188.472213,4.0
62.0,74407.543608,5.0
60.0,75599.326159,4.0
64.0,75953.61525399999,5.0
60.0,75969.40562699999,4.0
65.0,89182.623619,5.0
72.0,90506.171845,6.0
65.0,90603.79864400001,5.0
72.0,93047.526272,6.0
65.0,93087.720162,5.0
68.0,109493.68775999999,6.0
71.0,110581.444172,7.0
68.0,111488.95212,6.0
114.0,115152.66226099999,7.0
111.0,116653.24640899998,6.0
128.0,123749.76168699999,6.0
65.0,124245.10273423542,5.0
69.0,124908.00502899999,6.0
59.0,125483.828337,5.0
55.0,139167.831749,4.0
60.0,139399.772593,5.0
55.0,139693.882643,4.0
61.0,147927.927069,5.0
55.0,154080.123205,4.0
53.0,154898.93666200002,3.0
56.0,155530.056557,4.0
53.0,155566.191801,3.0
66.0,172211.04449600002,4.0
71.0,174095.16488199998,5.0
66.0,174988.02251015877,4.0
106.0,178357.732144,5.0
108.0,196446.12998199998,6.0
106.0,197106.70661199998,5.0
125.0,205455.20489300002,6.0
128.0,211947.956526,7.0
125.0,213897.88456849623,6.0
128.0,224242.740902,7.0
125.0,279352.31351500005,6.0
128.0,279352.9173487701,8.0
128.0,280632.909601,8.0
128.0,280730.38861200004,8.0
126.0,281683.26150777005,7.0
128.0,286081.290895,8.0
128.0,290502.694747,9.0
128.0,290510.982202,9.0
128.0,290544.33969463,9.0
128.0,290568.310932778,9.0
128.0,290582.6936756668,9.0
128.0,290604.26779,10.0
124.0,290610.259516,9.0
