cores,time,running_job_len
2.0,0.0,1.0
4.0,773.134487,2.0
2.0,844.0980420000001,1.0
5.0,1265.885217,2.0
19.0,2278.600139,3.0
42.0,4086.6433859999997,4.0
29.0,4117.660785,3.0
37.0,5048.676575,4.0
29.0,5057.279889493928,3.0
27.0,8497.339534,2.0
20.0,9810.62268275505,1.0
30.0,12245.416738,2.0
20.0,12677.143601,1.0
39.0,16054.345985,2.0
20.0,16064.270136,1.0
23.0,20929.198805,2.0
20.0,22921.744137674195,1.0
29.0,23983.690366,2.0
20.0,24743.448994,1.0
22.0,30917.663988,2.0
25.0,32382.952506999998,3.0
28.0,40942.538563,4.0
57.0,42469.99042,5.0
50.0,42482.829796334234,4.0
25.0,42504.781256,3.0
28.0,47758.83096,4.0
56.0,47919.237302999994,5.0
28.0,47927.60859899999,4.0
73.0,50175.978524,5.0
76.0,64607.713421,6.0
73.0,64610.398608999996,5.0
70.0,65188.472213,4.0
50.0,66344.90534254856,3.0
52.0,74407.543608,4.0
50.0,75599.326159,3.0
54.0,75953.61525399999,4.0
50.0,75969.40562699999,3.0
55.0,89182.623619,4.0
62.0,90506.171845,5.0
55.0,90603.79864400001,4.0
62.0,93047.526272,5.0
55.0,93087.720162,4.0
58.0,109493.68775999999,5.0
61.0,110581.444172,6.0
58.0,111488.95212,5.0
104.0,115152.66226099999,6.0
101.0,116653.24640899998,5.0
128.0,123749.76168699999,5.0
55.0,124179.20125111498,4.0
59.0,124908.00502899999,5.0
55.0,139167.831749,4.0
60.0,139399.772593,5.0
55.0,139693.882643,4.0
61.0,147927.927069,5.0
55.0,154080.123205,4.0
53.0,154898.93666200002,3.0
56.0,155530.056557,4.0
53.0,155566.191801,3.0
66.0,172211.04449600002,4.0
71.0,174095.16488199998,5.0
66.0,174955.0288661706,4.0
106.0,178357.732144,5.0
128.0,196446.8656944627,7.0
126.0,197106.70661199998,6.0
91.0,205236.9145614627,5.0
128.0,205455.20489300002,6.0
125.0,279352.31351500005,5.0
128.0,279353.33221668686,8.0
128.0,279394.97716431686,8.0
128.0,279419.54768341855,8.0
128.0,279454.9052596869,9.0
124.0,279460.89698568685,8.0
128.0,279461.96585252386,11.0
128.0,279559.4448635239,11.0
128.0,280393.67596938903,11.0
126.0,280741.4930716868,10.0
128.0,281302.9826953385,10.0
128.0,281311.2701503385,10.0
128.0,281566.2332979385,10.0
