cores,time,running_job_len
2.0,0.0,1.0
9.0,193.28362175,2.0
7.0,264.24717675,1.0
10.0,316.47130425,2.0
28.0,569.65003475,3.0
65.0,1021.6608464999999,4.0
52.0,1052.6782455,3.0
60.0,1262.16914375,4.0
52.0,1269.34487575,3.0
45.0,3035.595034816749,2.0
55.0,3061.3541845,3.0
45.0,3493.0810475,2.0
64.0,4013.58649625,3.0
45.0,4023.51064725,2.0
48.0,5232.29970125,3.0
57.0,5995.9225915,4.0
46.0,6388.088864203404,3.0
37.0,6755.6812195,2.0
34.0,7348.15238725,1.0
36.0,7729.415997,2.0
44.0,8095.73812675,3.0
47.0,10235.63464075,4.0
72.0,10617.497605,5.0
47.0,10652.288441,4.0
44.0,11789.703439750001,3.0
47.0,11939.70774,4.0
75.0,11979.80932575,5.0
47.0,11988.18062175,4.0
92.0,12543.994631,5.0
128.0,16151.92835525,6.0
125.0,16732.68714725,5.0
128.0,18601.885902,6.0
126.0,19793.668453000002,5.0
128.0,27378.971920628086,10.0
124.0,27389.945675911065,9.0
117.0,27419.165810628085,8.0
110.0,27474.457931140667,7.0
128.0,27645.361043,8.0
125.0,28552.868991,7.0
128.0,36986.16881481658,11.0
123.0,37280.27886481658,10.0
121.0,37953.19024596921,9.0
128.0,38882.51413925,10.0
125.0,38918.64938325,9.0
122.0,40323.18422875,8.0
128.0,43524.387271409905,10.0
123.0,44671.180640499995,9.0
128.0,46250.12143688832,9.0
125.0,48828.23683139643,8.0
128.0,49111.532495499996,9.0
126.0,49772.1091255,8.0
119.0,49787.35167090339,7.0
115.0,51243.87400696055,6.0
128.0,52987.49740317503,8.0
124.0,54454.0571365,7.0
128.0,56060.6852255,8.0
128.0,61777.54627017503,10.0
124.0,61783.53799617503,9.0
128.0,62098.44393425,10.0
126.0,63379.040020249995,9.0
128.0,63380.530821145505,12.0
125.0,63387.76649734356,11.0
123.0,63478.00983214551,10.0
121.0,65709.38417924999,9.0
128.0,66198.95012217503,9.0
120.0,66300.52316517502,8.0
