S_ime,R_time,Processors,Sigma
0.000000,8497.339534,2,0.245417
96.641811,70.963555,2,0.972174
158.235652,18009.100135,4,0.560986
284.825017,123205.228198,29,0.880554
510.830423,31.017399,44,0.752653
631.084572,7.175732,20,0.453731
1530.677092,431.726863,30,0.464040
2006.793248,9.924151,83,1.134929
2616.149851,2115.852686,4,1.169688
2997.961296,759.758628,26,0.146437
3864.707998,123981.272674,2,1.691955
4047.869063,32227.446102,4,0.438828
5117.817320,1554.068799,5,1.433392
5308.748802,34.790836,121,0.879695
5969.853870,231593.482555,4,1.075416
5989.904663,8.371296,141,0.968447
6271.997316,73573.783163,296,1.274554
8075.964178,580.758792,5,0.512425
9300.942951,1191.782551,2,0.774593
9494.201907,15.790373,8,0.994014
11147.827952,338025.845896,10,0.565415
11313.271481,97.626799,17,1.111541
11630.940784,40.193890,18,1.013811
13686.710970,7159.558649,4,0.551172
13822.680521,907.507948,5,1.697329
14394.082783,9267.474527,307,1.433619
14847.515315,162331.529208,296,1.691546
15613.500629,14259.826720,8,1.469098
17424.971574,294.110050,9,1.027437
18490.990884,6152.196136,12,0.756208
19441.257070,36.135244,5,0.916120
21526.380562,414367.078653,44,1.901678
21761.895610,1147.389420,10,1.185098
22294.716518,606597.185863,247,1.472275
24162.398621,171760.178542,360,0.797668
24314.602515,8790.048867,202,0.352298
24555.766248,660.576630,3,1.819047
25681.900612,1474723.657415,78,1.529392
26493.494566,1467.068005,8,1.235920
26811.594497,5.012044,305,0.954853
27200.171931,4421.403852,34,0.946808
27290.494386,101.573043,23,1.426432
27779.238549,657.544150,165,1.163059
28030.342613,88704.456986,5,0.722286
29263.323275,18274.016427,377,0.909749
29270.316263,5.991726,6,1.810925
31049.221967,1280.596086,2,1.231706
31064.355154,2330.344159,3,0.946907
31385.506683,1131048.287483,38,0.818877
31465.968623,8.287455,5,0.233691
31641.388420,97.479011,2,1.403179
32366.723187,44089.009658,112,1.175320
33141.588282,22681.200307,2,0.668241
33179.209012,222.363275,100,0.205654
33224.348883,46932.470016,83,1.017181
34174.307916,637.407869,4,0.915404
34475.561339,54.553556,110,1.345087
34953.828808,2423571.757830,43,0.425924
35951.348283,2926.886151,4,0.455021
36417.876196,30.980894,3,0.407656
36467.529135,19.003666,413,1.257874
38099.085086,358184.102094,2,0.493794
38488.877808,456305.579295,24,0.563694
39023.816758,87825.807328,24,0.035886
40606.048529,58.860262,17,0.568106
41391.912738,102436.211331,45,0.832186
41469.996184,330.471445,2,1.691556
41663.701932,1008987.580273,155,1.511337
43033.998338,157.304765,2,1.227968
43398.366647,4.648143,7,0.121882
44225.107785,19.998485,6,1.414277
44439.076445,2627183.526319,3,0.629308
45707.255992,45.102172,101,0.427123
45920.688510,1467844.884791,390,1.027640
47226.910568,16732.387747,461,0.278341
47593.540449,44402.264448,6,1.712024
48300.193804,14.897064,255,1.157831
49020.166465,155.609916,154,0.959988
49984.612834,13685.296682,142,1.891246
50095.517018,25681.739802,117,1.581026
50570.924906,922679.505773,135,0.885978
52959.407350,2946618.954497,101,0.572462
53395.513723,12866.055784,409,0.757459
53542.830926,42354.933844,19,1.185723
55233.249260,202484.141858,125,1.713812
55553.208108,44722.254733,12,0.710195
55906.043456,250487.805501,12,0.695554
56410.281774,500.088348,5,0.355732
57824.900472,32578.058268,5,0.126131
58332.655939,402127.920681,98,1.802042
58395.893838,1990021.657177,5,1.350623
58403.570706,125.162596,25,0.768849
58407.110551,1553606.620721,16,0.770026
58628.287550,282912.446831,63,1.895184
59332.772285,5.756886,66,1.144815
59536.083357,3.393693,397,0.904089
60095.236346,411.192156,234,1.286641
60317.740759,19314.835357,7,0.415640
60368.082348,49.788776,404,0.719516
61202.449590,6.593878,13,1.836625
61744.213658,78.529048,2,0.166314
62862.674967,204614.137365,163,0.240369
63058.812790,4222.469131,45,1.200216
63336.076218,182.412846,144,1.866996
63464.399641,433028.367737,82,1.545461
64217.408204,4.476622,6,1.406888
65007.608729,15.115639,4,0.652518
65014.283836,2623.891532,2,1.610492
65856.411464,4832.683706,3,1.718889
66606.650642,2935.157923,15,0.178815
66651.056478,818288.101286,6,1.270798
67078.309746,1198408.389873,80,1.537425
67343.124549,5.524463,107,1.661708
67376.462086,267802.318947,211,1.894263
67845.576222,48.346838,3,1.187584
68608.408198,684571.640795,32,1.429058
68618.575006,23373.999037,239,0.533884
68984.252546,124112.240966,4,0.504515
69091.720258,827799.261888,37,1.173217
69124.778062,4998.773582,32,1.609732
70184.109167,127.544595,70,0.667556
70368.434976,16966.396815,109,0.589601
70562.858852,143.760450,454,1.210572
71386.319139,26.131653,7,0.936863
71490.643297,215.574133,7,0.841331
73444.008026,500.788016,15,1.186498
73502.791037,134688.184048,16,1.178353
74227.530848,291.811787,93,0.114549
75930.859804,165195.493317,279,0.085210
76423.037760,203.233367,31,1.515292
76451.769043,12755.278665,2,0.526609
76468.377262,206.793346,12,0.801925
76820.431369,221.517106,65,0.010973
76978.380058,228.633575,5,0.997096
77076.508133,7262.872392,3,1.508692
77448.454528,49.766663,286,0.182039
77686.422157,5.624603,34,1.514349
78017.524892,77076.942242,46,1.944321
78429.019425,5090.727289,16,0.358066
79090.708162,1670269.545084,204,1.134629
80014.846875,1019.553642,2,0.750742
80313.704046,1077520.434039,11,1.040395
80982.898351,47.201629,2,1.791970
81600.350878,2318.174422,73,1.955685
81723.983021,2671.856965,468,0.516027
82117.574393,12138.354707,48,0.756020
83750.225717,12426.254437,39,0.160551
83920.208256,46538.711876,266,0.266512
83980.764881,2023.117372,14,1.924435
84593.080492,283.074417,193,0.107491
85344.024384,543577.113117,142,0.557696
85818.137473,216515.443817,93,0.160744
85888.703699,24.114726,132,0.950369
86059.702897,76.348155,320,1.302074
87269.788899,6906.814539,183,1.102341
88257.986055,1061791.694195,197,0.084107
89415.315066,318.027333,194,1.889171
89432.239830,844.019460,14,1.398285
89743.287301,10991.079275,53,0.767232
89831.306961,21.008812,7,1.580859
90081.731708,1219367.299839,9,0.997981
90169.124470,49218.915505,13,1.426383
90774.407797,495602.814351,2,0.431945
91001.683496,41.360170,4,0.217967
91219.602815,58625.576313,20,0.673055
91592.830292,50.201854,5,1.683908
93843.181606,3419.943198,316,0.746535
94400.709038,84.699152,81,1.603402
94898.391920,33.655157,165,1.038666
95184.620145,55.059164,37,1.682370
95651.672549,5597.802742,2,1.889181
96933.202619,2659.981380,2,0.715402
98527.488887,616.416494,185,1.992334
98632.930160,764.353911,502,1.090594
98664.293923,2804321.617330,11,1.535675
98829.164429,722.437092,88,0.685096
100867.055736,229711.545196,128,0.129779
101125.497194,41.096060,5,1.473350
101467.588424,235290.689173,329,0.817055
101698.977672,97.440565,4,1.363897
102251.545269,19629.019540,134,1.559520
103003.471566,5753.076228,142,0.021056
105150.887744,5.720535,77,1.614865
105641.494918,1876.917190,7,1.381279
105744.272228,115.591692,2,1.549033
105867.744616,1792.742367,314,0.045622
106071.316638,1158.514442,125,1.003634
107143.313273,188485.332405,109,1.936063
107418.315076,3180823.662372,203,0.666990
107441.421751,158590.585551,6,0.525038
107905.812680,13.471693,99,0.957994
108456.652746,184.806251,9,0.656640
108900.800244,5.649957,107,0.516070
108928.436254,1212.514155,9,1.415648
110101.162094,368.538536,12,1.998056
111076.899030,1927556.219168,18,0.943764
111118.163455,1426431.573602,8,1.340899
112059.286908,8.781533,87,1.114944
114113.080693,5.356610,17,1.565244
114114.064504,86237.615654,96,0.680940
115357.889474,2644.338373,141,1.057981
115817.757479,79060.673926,17,1.867617
116059.942966,526532.674928,3,0.011812
116410.875930,64.771782,47,0.559102
118751.367833,237.691606,167,0.945910
120050.646982,2103.242518,184,1.702558
120825.968583,2562293.450521,7,0.148660
120973.056161,5958.587886,5,0.470668
121465.008346,918820.736560,9,1.184629
121537.879658,26.292322,3,1.008296
121592.921789,4498.187645,108,1.468343
121694.388578,429603.199154,19,1.365881
122469.252270,2006587.204751,74,1.163600
123457.229046,501.975104,39,0.885899
125125.972179,716349.832082,25,0.828542
125647.216277,199.995992,54,1.125032
127234.269468,2261.161880,8,1.650180
127910.884888,34408.978881,2,1.603205
128070.920806,9.615722,8,0.915599
128697.514494,27790.167603,2,1.889875
128973.248476,3.472336,484,0.299584
129430.585707,9099.495814,94,0.226238
129815.839194,40.966306,47,1.730702
129932.519482,46.159897,72,1.782529
131890.712110,29486.335218,2,0.722194
132068.900129,67197.338869,127,1.562786
132149.895728,1013.966147,68,1.733786
133555.492493,342.467252,3,1.655176
134325.064124,451.540394,55,1.800806
134584.147559,73423.390118,14,0.681119
135114.174470,602.538428,6,1.005655
135677.489962,97.455437,18,0.349427
136933.755379,6.083423,17,1.609079
139351.879936,876159.124640,6,0.329314
139559.557073,1547.290598,2,0.708647
140258.199092,3.418396,2,1.484383
140481.207302,28.945641,96,1.948547
140938.571914,534.896989,304,1.873872
140971.274435,7.459303,42,0.797255
141376.329801,1000.610931,127,1.549242
141790.873832,2615.129826,2,1.203445
142381.008989,1094415.513952,202,0.916200
143364.706750,25.135365,174,1.863956
143798.598790,846.092757,23,0.817236
145663.510622,426.817168,13,1.291968
146446.787110,28.571461,3,0.107255
146618.309881,7396.419184,15,1.575115
147431.394729,31.472789,2,0.231595
147608.971603,244.125659,130,1.149604
147668.609911,7.636229,60,0.814448
147670.431281,1671.222836,180,0.810612
147995.985019,40213.807110,6,1.521643
148982.770241,3942.171400,7,1.246737
149454.880184,693459.155884,20,1.094816
150863.010356,183.000407,8,1.760746
151208.232431,170615.009518,348,0.446684
151749.073092,64.225282,58,0.491803
151924.917653,323324.289885,7,0.026614
153803.429109,57.912718,2,0.691196
154341.974859,227213.743327,92,1.776396
154535.536436,2786955.587940,59,0.099389
154933.895032,16329.719008,61,0.918953
155032.499327,559054.793384,2,1.001795
155261.359542,98.731764,381,1.994949
155631.034982,5.533707,20,1.315496
156340.733773,8.254460,4,0.077193
156703.077607,129249.671504,374,0.409393
156825.805993,72980.810120,16,0.949756
157609.294664,279.486549,2,0.681431
158667.023479,4.484638,2,0.260428
159322.354867,36694.680367,2,1.641039
159797.909319,19.428516,13,1.315601
160409.214676,56.537897,354,0.636091
160579.004672,20.000018,3,0.387903
161261.014231,2127.253520,347,0.774566
161425.432384,7739.092649,191,1.685811
161512.024572,39.763364,11,1.877058
161724.281705,764.267147,3,0.229304
162434.219500,2479.635611,6,0.508563
162667.323750,3.553186,348,1.651630
163034.548481,25.588320,69,0.972984
163469.977490,98.358067,2,0.665845
163605.248843,49.108614,6,0.348245
164371.361029,627034.592052,29,0.853968
164689.885152,88920.812910,20,1.723956
165468.807084,5887.964125,2,0.435963
166415.215679,128145.591459,27,1.782984
168072.006115,612.811333,24,0.346739
168386.419492,2315081.171031,305,1.756548
170149.175128,29.537542,2,1.188694
172375.338624,41.407534,8,1.010880
173059.572019,166297.738210,42,0.668593
173079.870110,6064.062450,123,0.985578
175359.132038,7175.828010,169,1.057410
175739.654031,17.577615,83,0.907687
175833.813748,3602.744181,3,1.775997
176000.746561,994294.353856,7,0.187182
176654.278116,1041.008506,4,1.880331
177612.143983,904416.260044,7,1.959969
177795.224567,3.180472,399,1.126499
178019.817664,12.128581,62,0.802345
178269.227452,109.352408,2,1.670797
179358.755777,12030.651165,2,0.924005
179807.155524,220366.134367,3,1.372820
179895.115180,766758.457680,60,0.337573
181681.788497,940533.231452,242,0.028115
182223.753451,55696.776855,36,0.145523
183480.763498,85918.333073,10,0.385560
183888.898268,457.235651,3,1.149130
183980.669317,6.484185,51,1.943979
184580.167635,344823.546874,54,0.058867
184988.716765,9.581061,306,0.786057
185563.803288,219644.261464,152,1.930180
185619.657679,11.008388,47,0.559415
186635.493279,184575.133003,57,0.721622
187096.028610,65.371947,15,0.201960
188199.283898,2265.489422,2,1.605127
190188.932215,241.821642,40,1.912363
190418.669029,374.316662,25,0.983608
190990.557852,831.998475,13,0.019574
191215.996575,48.494365,20,0.679759
191318.858270,237244.701177,132,0.537213
191333.576537,1245.454434,12,0.016171
191401.441796,5.760299,32,0.969470
192224.652268,32.752939,9,1.550540
192476.775916,31.146652,2,0.136576
192650.744298,116802.418777,11,0.460585
